image,normalized_png,normalized_npy,height,width,radial_bands,angular_samples,status
aeval1.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval1_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval1_normalized.npy,128,128,8,128,ok
aeval2.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval2_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval2_normalized.npy,128,128,8,128,ok
aeval3.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval3_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval3_normalized.npy,128,128,8,128,ok
aeval4.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval4_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval4_normalized.npy,128,128,8,128,ok
aeval5.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval5_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_left_aeval5_normalized.npy,128,128,8,128,ok
aevar1.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar1_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar1_normalized.npy,128,128,8,128,ok
aevar2.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar2_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar2_normalized.npy,128,128,8,128,ok
aevar3.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar3_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar3_normalized.npy,128,128,8,128,ok
aevar4.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar4_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar4_normalized.npy,128,128,8,128,ok
aevar5.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar5_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\1_right_aevar5_normalized.npy,128,128,8,128,ok
fional1.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional1_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional1_normalized.npy,128,128,8,128,ok
fional2.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional2_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional2_normalized.npy,128,128,8,128,ok
fional3.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional3_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional3_normalized.npy,128,128,8,128,ok
fional4.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional4_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional4_normalized.npy,128,128,8,128,ok
fional5.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional5_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_left_fional5_normalized.npy,128,128,8,128,ok
fionar1.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar1_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar1_normalized.npy,128,128,8,128,ok
fionar2.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar2_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar2_normalized.npy,128,128,8,128,ok
fionar3.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar3_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar3_normalized.npy,128,128,8,128,ok
fionar4.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar4_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar4_normalized.npy,128,128,8,128,ok
fionar5.bmp,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar5_normalized.png,C:\Studia\6 sem\biometria\projekt_2_koniec\rozpoznawanie-teczowki-biometria\results_mmu\normalizacja\10_right_fionar5_normalized.npy,128,128,8,128,ok
