image_a,image_b,subject_a,subject_b,hamming_distance,best_shift,valid_bits,is_genuine,accepted
aeval1.bmp,aeval2.bmp,1_left,1_left,0.10302734375,0,2048,True,True
aeval1.bmp,aeval3.bmp,1_left,1_left,0.14794921875,0,2048,True,True
aeval1.bmp,aeval4.bmp,1_left,1_left,0.15185546875,1,2048,True,True
aeval1.bmp,aeval5.bmp,1_left,1_left,0.12646484375,1,2048,True,True
aeval1.bmp,aevar1.bmp,1_left,1_right,0.23828125,-3,2048,False,False
aeval1.bmp,aevar2.bmp,1_left,1_right,0.23681640625,-3,2048,False,False
aeval1.bmp,aevar3.bmp,1_left,1_right,0.22900390625,4,2048,False,False
aeval1.bmp,aevar4.bmp,1_left,1_right,0.23681640625,-3,2048,False,False
aeval1.bmp,aevar5.bmp,1_left,1_right,0.23193359375,-1,2048,False,False
aeval1.bmp,fional1.bmp,1_left,10_left,0.251953125,2,2048,False,False
aeval1.bmp,fional2.bmp,1_left,10_left,0.24560546875,-6,2048,False,False
aeval1.bmp,fional3.bmp,1_left,10_left,0.23974609375,7,2048,False,False
aeval1.bmp,fional4.bmp,1_left,10_left,0.23876953125,-4,2048,False,False
aeval1.bmp,fional5.bmp,1_left,10_left,0.23876953125,8,2048,False,False
aeval1.bmp,fionar1.bmp,1_left,10_right,0.22021484375,4,2048,False,False
aeval1.bmp,fionar2.bmp,1_left,10_right,0.2353515625,1,2048,False,False
aeval1.bmp,fionar3.bmp,1_left,10_right,0.244140625,3,2048,False,False
aeval1.bmp,fionar4.bmp,1_left,10_right,0.23388671875,1,2048,False,False
aeval1.bmp,fionar5.bmp,1_left,10_right,0.2255859375,4,2048,False,False
aeval1.bmp,hockl1.bmp,1_left,11_left,0.236328125,-3,2048,False,False
aeval1.bmp,hockl2.bmp,1_left,11_left,0.22900390625,-3,2048,False,False
aeval1.bmp,hockl3.bmp,1_left,11_left,0.23193359375,-8,2048,False,False
aeval1.bmp,hockl4.bmp,1_left,11_left,0.22705078125,-3,2048,False,False
aeval1.bmp,hockl5.bmp,1_left,11_left,0.2490234375,-4,2048,False,False
aeval1.bmp,hockr1.bmp,1_left,11_right,0.25048828125,-7,2048,False,False
aeval1.bmp,hockr2.bmp,1_left,11_right,0.244140625,4,2048,False,False
aeval1.bmp,hockr3.bmp,1_left,11_right,0.2421875,-3,2048,False,False
aeval1.bmp,hockr4.bmp,1_left,11_right,0.25,-7,2048,False,False
aeval1.bmp,hockr5.bmp,1_left,11_right,0.2353515625,-8,2048,False,False
aeval1.bmp,kelvinl1.bmp,1_left,12_left,0.22119140625,-2,2048,False,False
aeval1.bmp,kelvinl2.bmp,1_left,12_left,0.23681640625,-4,2048,False,False
aeval1.bmp,kelvinl3.bmp,1_left,12_left,0.2392578125,2,2048,False,False
aeval1.bmp,kelvinl4.bmp,1_left,12_left,0.2265625,-3,2048,False,False
aeval1.bmp,kelvinl5.bmp,1_left,12_left,0.232421875,-2,2048,False,False
aeval1.bmp,kelvinr1.bmp,1_left,12_right,0.23779296875,-6,2048,False,False
aeval1.bmp,kelvinr2.bmp,1_left,12_right,0.24462890625,1,2048,False,False
aeval1.bmp,kelvinr3.bmp,1_left,12_right,0.24658203125,-8,2048,False,False
aeval1.bmp,kelvinr4.bmp,1_left,12_right,0.244140625,8,2048,False,False
aeval1.bmp,kelvinr5.bmp,1_left,12_right,0.25,-8,2048,False,False
aeval1.bmp,lec_1.bmp,1_left,13_left,0.2353515625,5,2048,False,False
aeval1.bmp,lecl2.bmp,1_left,13_left,0.23974609375,-8,2048,False,False
aeval1.bmp,lecl3.bmp,1_left,13_left,0.244140625,-2,2048,False,False
aeval1.bmp,lecl4.bmp,1_left,13_left,0.23828125,3,2048,False,False
aeval1.bmp,lecl5.bmp,1_left,13_left,0.2275390625,-8,2048,False,False
aeval1.bmp,lecr1.bmp,1_left,13_right,0.23876953125,1,2048,False,False
aeval1.bmp,lecr2.bmp,1_left,13_right,0.2294921875,8,2048,False,False
aeval1.bmp,lecr3.bmp,1_left,13_right,0.236328125,0,2048,False,False
aeval1.bmp,lecr4.bmp,1_left,13_right,0.23486328125,8,2048,False,False
aeval1.bmp,lecr5.bmp,1_left,13_right,0.23193359375,8,2048,False,False
aeval1.bmp,liujwl1.bmp,1_left,14_left,0.2138671875,-8,2048,False,True
aeval1.bmp,liujwl2.bmp,1_left,14_left,0.212890625,-8,2048,False,True
aeval1.bmp,liujwl3.bmp,1_left,14_left,0.2197265625,-4,2048,False,False
aeval1.bmp,liujwl4.bmp,1_left,14_left,0.23193359375,-4,2048,False,False
aeval1.bmp,liujwl5.bmp,1_left,14_left,0.23681640625,4,2048,False,False
aeval1.bmp,liujwr1.bmp,1_left,14_right,0.2216796875,-8,2048,False,False
aeval1.bmp,liujwr2.bmp,1_left,14_right,0.2099609375,-2,2048,False,True
aeval1.bmp,liujwr3.bmp,1_left,14_right,0.2353515625,-8,2048,False,False
aeval1.bmp,liujwr4.bmp,1_left,14_right,0.21826171875,-2,2048,False,False
aeval1.bmp,liujwr5.bmp,1_left,14_right,0.2099609375,-4,2048,False,True
aeval1.bmp,lokel1.bmp,1_left,15_left,0.2236328125,7,2048,False,False
aeval1.bmp,lokel2.bmp,1_left,15_left,0.24267578125,5,2048,False,False
aeval1.bmp,lokel3.bmp,1_left,15_left,0.23828125,3,2048,False,False
aeval1.bmp,lokel4.bmp,1_left,15_left,0.22265625,3,2048,False,False
aeval1.bmp,lokel5.bmp,1_left,15_left,0.2431640625,4,2048,False,False
aeval1.bmp,loker1.bmp,1_left,15_right,0.23193359375,4,2048,False,False
aeval1.bmp,loker2.bmp,1_left,15_right,0.22705078125,1,2048,False,False
aeval1.bmp,loker3.bmp,1_left,15_right,0.23779296875,3,2048,False,False
aeval1.bmp,loker4.bmp,1_left,15_right,0.21630859375,2,2048,False,False
aeval1.bmp,loker5.bmp,1_left,15_right,0.22119140625,-1,2048,False,False
aeval1.bmp,lowyfl1.bmp,1_left,16_left,0.19677734375,1,2048,False,True
aeval1.bmp,lowyfl2.bmp,1_left,16_left,0.244140625,2,2048,False,False
aeval1.bmp,lowyfl3.bmp,1_left,16_left,0.2177734375,1,2048,False,False
aeval1.bmp,lowyfl4.bmp,1_left,16_left,0.24560546875,1,2048,False,False
aeval1.bmp,lowyfl5.bmp,1_left,16_left,0.2236328125,0,2048,False,False
aeval1.bmp,lowyfr1.bmp,1_left,16_right,0.22705078125,-3,2048,False,False
aeval1.bmp,lowyfr2.bmp,1_left,16_right,0.20947265625,-7,2048,False,True
aeval1.bmp,lowyfr3.bmp,1_left,16_right,0.23681640625,-3,2048,False,False
aeval1.bmp,lowyfr4.bmp,1_left,16_right,0.22314453125,1,2048,False,False
aeval1.bmp,lowyfr5.bmp,1_left,16_right,0.23583984375,-4,2048,False,False
aeval1.bmp,lpjl1.bmp,1_left,17_left,0.22509765625,3,2048,False,False
aeval1.bmp,lpjl2.bmp,1_left,17_left,0.22216796875,7,2048,False,False
aeval1.bmp,lpjl3.bmp,1_left,17_left,0.2265625,4,2048,False,False
aeval1.bmp,lpjl4.bmp,1_left,17_left,0.244140625,6,2048,False,False
aeval1.bmp,lpjl5.bmp,1_left,17_left,0.2392578125,-8,2048,False,False
aeval1.bmp,lpjr1.bmp,1_left,17_right,0.224609375,-1,2048,False,False
aeval1.bmp,lpjr2.bmp,1_left,17_right,0.22607421875,-1,2048,False,False
aeval1.bmp,lpjr3.bmp,1_left,17_right,0.2412109375,7,2048,False,False
aeval1.bmp,lpjr4.bmp,1_left,17_right,0.24072265625,7,2048,False,False
aeval1.bmp,lpjr5.bmp,1_left,17_right,0.2294921875,7,2048,False,False
aeval1.bmp,mahskl1.bmp,1_left,18_left,0.20947265625,-1,2048,False,True
aeval1.bmp,mahskl2.bmp,1_left,18_left,0.2236328125,-2,2048,False,False
aeval1.bmp,mahskl3.bmp,1_left,18_left,0.232421875,-8,2048,False,False
aeval1.bmp,mahskl4.bmp,1_left,18_left,0.220703125,-8,2048,False,False
aeval1.bmp,mahskl5.bmp,1_left,18_left,0.234375,1,2048,False,False
aeval1.bmp,mahskr1.bmp,1_left,18_right,0.220703125,-6,2048,False,False
aeval1.bmp,mahskr2.bmp,1_left,18_right,0.2333984375,-4,2048,False,False
aeval1.bmp,mahskr3.bmp,1_left,18_right,0.21826171875,-8,2048,False,False
aeval1.bmp,mahskr4.bmp,1_left,18_right,0.2265625,-5,2048,False,False
aeval1.bmp,mahskr5.bmp,1_left,18_right,0.244140625,-4,2048,False,False
aeval1.bmp,maranl1.bmp,1_left,19_left,0.2275390625,-7,2048,False,False
aeval1.bmp,maranl2.bmp,1_left,19_left,0.23095703125,-3,2048,False,False
aeval1.bmp,maranl3.bmp,1_left,19_left,0.23486328125,-4,2048,False,False
aeval1.bmp,maranl4.bmp,1_left,19_left,0.23193359375,1,2048,False,False
aeval1.bmp,maranl5.bmp,1_left,19_left,0.23681640625,-2,2048,False,False
aeval1.bmp,maranr1.bmp,1_left,19_right,0.2490234375,8,2048,False,False
aeval1.bmp,maranr2.bmp,1_left,19_right,0.25146484375,8,2048,False,False
aeval1.bmp,maranr3.bmp,1_left,19_right,0.2314453125,8,2048,False,False
aeval1.bmp,maranr4.bmp,1_left,19_right,0.25,6,2048,False,False
aeval1.bmp,maranr5.bmp,1_left,19_right,0.2490234375,2,2048,False,False
aeval1.bmp,bryanl1.bmp,1_left,2_left,0.21337890625,-6,2048,False,True
aeval1.bmp,bryanl2.bmp,1_left,2_left,0.2197265625,-1,2048,False,False
aeval1.bmp,bryanl3.bmp,1_left,2_left,0.228515625,6,2048,False,False
aeval1.bmp,bryanl4.bmp,1_left,2_left,0.24072265625,0,2048,False,False
aeval1.bmp,bryanl5.bmp,1_left,2_left,0.24267578125,-8,2048,False,False
aeval1.bmp,bryanr1.bmp,1_left,2_right,0.2353515625,-2,2048,False,False
aeval1.bmp,bryanr2.bmp,1_left,2_right,0.236328125,1,2048,False,False
aeval1.bmp,bryanr3.bmp,1_left,2_right,0.232421875,-5,2048,False,False
aeval1.bmp,bryanr4.bmp,1_left,2_right,0.24462890625,-3,2048,False,False
aeval1.bmp,bryanr5.bmp,1_left,2_right,0.21435546875,2,2048,False,True
aeval1.bmp,masl1.bmp,1_left,20_left,0.22607421875,2,2048,False,False
aeval1.bmp,masl2.bmp,1_left,20_left,0.21142578125,6,2048,False,True
aeval1.bmp,masl3.bmp,1_left,20_left,0.234375,5,2048,False,False
aeval1.bmp,masl4.bmp,1_left,20_left,0.21630859375,-2,2048,False,False
aeval1.bmp,masl5.bmp,1_left,20_left,0.22802734375,1,2048,False,False
aeval1.bmp,masr1.bmp,1_left,20_right,0.2353515625,4,2048,False,False
aeval1.bmp,masr2.bmp,1_left,20_right,0.23046875,6,2048,False,False
aeval1.bmp,masr3.bmp,1_left,20_right,0.23779296875,-3,2048,False,False
aeval1.bmp,masr4.bmp,1_left,20_right,0.22119140625,-3,2048,False,False
aeval1.bmp,masr5.bmp,1_left,20_right,0.22705078125,5,2048,False,False
aeval1.bmp,mazwanl1.bmp,1_left,21_left,0.19677734375,1,2048,False,True
aeval1.bmp,mazwanl2.bmp,1_left,21_left,0.2197265625,3,2048,False,False
aeval1.bmp,mazwanl3.bmp,1_left,21_left,0.24609375,-2,2048,False,False
aeval1.bmp,mazwanl4.bmp,1_left,21_left,0.2421875,3,2048,False,False
aeval1.bmp,mazwanl5.bmp,1_left,21_left,0.20361328125,3,2048,False,True
aeval1.bmp,mazwanr1.bmp,1_left,21_right,0.236328125,-3,2048,False,False
aeval1.bmp,mazwanr2.bmp,1_left,21_right,0.24462890625,-2,2048,False,False
aeval1.bmp,mazwanr3.bmp,1_left,21_right,0.21826171875,-7,2048,False,False
aeval1.bmp,mazwanr4.bmp,1_left,21_right,0.23046875,2,2048,False,False
aeval1.bmp,mazwanr5.bmp,1_left,21_right,0.23828125,-5,2048,False,False
aeval1.bmp,mimil1.bmp,1_left,22_left,0.23388671875,8,2048,False,False
aeval1.bmp,mimil2.bmp,1_left,22_left,0.236328125,8,2048,False,False
aeval1.bmp,mimil3.bmp,1_left,22_left,0.2294921875,8,2048,False,False
aeval1.bmp,mimil4.bmp,1_left,22_left,0.23828125,-7,2048,False,False
aeval1.bmp,mimil5.bmp,1_left,22_left,0.23486328125,1,2048,False,False
aeval1.bmp,mimir1.bmp,1_left,22_right,0.232421875,-6,2048,False,False
aeval1.bmp,mimir2.bmp,1_left,22_right,0.23583984375,8,2048,False,False
aeval1.bmp,mimir3.bmp,1_left,22_right,0.2412109375,0,2048,False,False
aeval1.bmp,mimir4.bmp,1_left,22_right,0.23486328125,0,2048,False,False
aeval1.bmp,mimir5.bmp,1_left,22_right,0.234375,0,2048,False,False
aeval1.bmp,minglil1.bmp,1_left,23_left,0.20458984375,1,2048,False,True
aeval1.bmp,minglil2.bmp,1_left,23_left,0.2158203125,1,2048,False,True
aeval1.bmp,minglil3.bmp,1_left,23_left,0.22802734375,2,2048,False,False
aeval1.bmp,minglil4.bmp,1_left,23_left,0.203125,2,2048,False,True
aeval1.bmp,minglil5.bmp,1_left,23_left,0.19677734375,0,2048,False,True
aeval1.bmp,minglir1.bmp,1_left,23_right,0.21923828125,1,2048,False,False
aeval1.bmp,minglir2.bmp,1_left,23_right,0.21533203125,7,2048,False,True
aeval1.bmp,minglir3.bmp,1_left,23_right,0.2255859375,0,2048,False,False
aeval1.bmp,minglir4.bmp,1_left,23_right,0.24755859375,-1,2048,False,False
aeval1.bmp,minglir5.bmp,1_left,23_right,0.24072265625,0,2048,False,False
aeval1.bmp,ngkokwhyl1.bmp,1_left,24_left,0.22802734375,-2,2048,False,False
