image,pupil_center_x,pupil_center_y,pupil_radius,iris_radius,status
aeval1.bmp,152,115,21,41,ok
aeval2.bmp,164,116,21,41,ok
aeval3.bmp,134,118,21,39,ok
aeval4.bmp,139,125,23,44,ok
aeval5.bmp,151,112,21,40,ok
aevar1.bmp,189,126,21,41,ok
aevar2.bmp,155,102,23,44,ok
aevar3.bmp,163,117,23,44,ok
aevar4.bmp,157,111,22,43,ok
aevar5.bmp,151,126,24,46,ok
fional1.bmp,225,122,44,82,ok
fional2.bmp,208,140,45,84,ok
fional3.bmp,232,116,48,89,ok
fional4.bmp,179,117,48,89,ok
fional5.bmp,178,118,52,97,ok
fionar1.bmp,166,144,41,77,ok
fionar2.bmp,128,113,51,95,ok
fionar3.bmp,154,114,50,93,ok
fionar4.bmp,149,130,50,93,ok
fionar5.bmp,137,117,42,79,ok
hockl1.bmp,167,122,23,44,ok
hockl2.bmp,177,93,20,39,ok
hockl3.bmp,174,129,21,41,ok
hockl4.bmp,178,115,21,41,ok
hockl5.bmp,161,109,30,57,ok
hockr1.bmp,180,128,20,39,ok
hockr2.bmp,198,119,20,39,ok
hockr3.bmp,181,123,22,43,ok
hockr4.bmp,174,118,21,41,ok
hockr5.bmp,186,116,22,43,ok
kelvinl1.bmp,152,116,22,43,ok
kelvinl2.bmp,154,134,20,38,ok
kelvinl3.bmp,138,128,23,41,ok
kelvinl4.bmp,139,133,20,39,ok
kelvinl5.bmp,143,136,24,46,ok
kelvinr1.bmp,165,139,22,43,ok
kelvinr2.bmp,185,126,21,41,ok
kelvinr3.bmp,162,127,22,43,ok
kelvinr4.bmp,168,118,22,43,ok
kelvinr5.bmp,149,126,20,39,ok
lec_1.bmp,151,166,21,41,ok
lecl2.bmp,142,152,23,44,ok
lecl3.bmp,139,149,23,44,ok
lecl4.bmp,161,143,23,44,ok
lecl5.bmp,180,132,21,41,ok
lecr1.bmp,212,128,21,41,ok
lecr2.bmp,200,115,21,41,ok
lecr3.bmp,194,105,20,39,ok
lecr4.bmp,212,107,21,41,ok
lecr5.bmp,212,106,21,41,ok
liujwl1.bmp,168,110,22,43,ok
liujwl2.bmp,172,107,23,44,ok
liujwl3.bmp,157,110,21,41,ok
liujwl4.bmp,186,96,23,44,ok
liujwl5.bmp,170,92,41,77,ok
liujwr1.bmp,145,112,20,39,ok
liujwr2.bmp,148,117,23,44,ok
liujwr3.bmp,153,116,21,41,ok
liujwr4.bmp,154,100,20,39,ok
liujwr5.bmp,151,129,21,41,ok
lokel1.bmp,137,136,56,101,ok
lokel2.bmp,140,121,20,36,ok
lokel3.bmp,152,118,23,44,ok
lokel4.bmp,134,134,21,41,ok
lokel5.bmp,157,112,20,38,ok
loker1.bmp,169,103,30,57,ok
loker2.bmp,172,96,21,38,ok
loker3.bmp,186,112,22,40,ok
loker4.bmp,115,106,21,41,ok
loker5.bmp,128,106,21,38,ok
lowyfl1.bmp,153,115,24,46,ok
lowyfl2.bmp,126,120,27,52,ok
lowyfl3.bmp,159,107,26,50,ok
lowyfl4.bmp,157,113,26,50,ok
lowyfl5.bmp,154,114,27,52,ok
lowyfr1.bmp,181,109,23,44,ok
lowyfr2.bmp,180,103,23,44,ok
lowyfr3.bmp,192,110,25,48,ok
lowyfr4.bmp,156,112,24,46,ok
lowyfr5.bmp,161,109,25,48,ok
lpjl1.bmp,200,141,50,92,ok
lpjl2.bmp,167,128,50,93,ok
lpjl3.bmp,177,126,49,91,ok
lpjl4.bmp,172,122,20,36,ok
lpjl5.bmp,163,130,20,39,ok
lpjr1.bmp,166,95,20,38,ok
lpjr2.bmp,173,121,20,39,ok
lpjr3.bmp,165,129,20,39,ok
lpjr4.bmp,174,129,20,39,ok
lpjr5.bmp,179,127,20,39,ok
mahskl1.bmp,177,96,25,48,ok
mahskl2.bmp,168,104,21,41,ok
mahskl3.bmp,175,109,21,41,ok
mahskl4.bmp,186,103,21,41,ok
mahskl5.bmp,185,96,23,44,ok
mahskr1.bmp,151,118,25,48,ok
mahskr2.bmp,164,107,23,44,ok
mahskr3.bmp,154,108,21,41,ok
mahskr4.bmp,177,114,23,44,ok
mahskr5.bmp,167,115,23,44,ok
maranl1.bmp,143,127,47,85,ok
maranl2.bmp,163,135,30,57,ok
maranl3.bmp,159,127,29,55,ok
maranl4.bmp,160,141,27,52,ok
maranl5.bmp,166,136,27,52,ok
maranr1.bmp,128,135,30,57,ok
maranr2.bmp,141,128,29,55,ok
maranr3.bmp,161,146,28,53,ok
maranr4.bmp,152,124,37,70,ok
maranr5.bmp,172,131,29,55,ok
bryanl1.bmp,147,121,22,43,ok
bryanl2.bmp,159,125,23,44,ok
bryanl3.bmp,147,134,20,39,ok
bryanl4.bmp,132,94,22,42,ok
bryanl5.bmp,166,107,22,40,ok
bryanr1.bmp,168,106,27,52,ok
bryanr2.bmp,195,112,25,48,ok
bryanr3.bmp,203,132,26,50,ok
bryanr4.bmp,180,136,24,46,ok
bryanr5.bmp,134,129,24,46,ok
masl1.bmp,162,154,25,48,ok
masl2.bmp,210,120,24,46,ok
masl3.bmp,196,145,25,48,ok
masl4.bmp,173,139,24,46,ok
masl5.bmp,166,136,23,44,ok
masr1.bmp,168,127,35,66,ok
masr2.bmp,180,149,22,43,ok
masr3.bmp,177,146,21,41,ok
masr4.bmp,177,148,21,41,ok
masr5.bmp,157,150,22,43,ok
mazwanl1.bmp,178,122,23,44,ok
mazwanl2.bmp,162,117,23,44,ok
mazwanl3.bmp,157,107,23,44,ok
mazwanl4.bmp,159,132,22,43,ok
mazwanl5.bmp,145,129,21,41,ok
mazwanr1.bmp,158,125,24,46,ok
mazwanr2.bmp,146,115,25,48,ok
mazwanr3.bmp,158,122,25,48,ok
mazwanr4.bmp,142,118,25,48,ok
mazwanr5.bmp,151,131,26,50,ok
chingycl1.bmp,186,96,23,44,ok
chingycl2.bmp,162,99,48,89,ok
chingycl3.bmp,171,121,21,41,ok
chingycl4.bmp,175,123,21,41,ok
chingycl5.bmp,179,115,21,41,ok
chingycr1.bmp,169,124,23,44,ok
chingycr2.bmp,181,110,20,39,ok
chingycr3.bmp,179,122,20,39,ok
chingycr4.bmp,165,117,22,43,ok
chingycr5.bmp,149,118,22,43,ok
chongpkl1.bmp,162,115,22,40,ok
chongpkl2.bmp,199,116,29,55,ok
chongpkl3.bmp,172,117,24,46,ok
chongpkl4.bmp,161,121,24,46,ok
chongpkl5.bmp,177,129,22,40,ok
chongpkr1.bmp,136,113,25,48,ok
chongpkr2.bmp,181,121,23,44,ok
chongpkr3.bmp,160,117,27,52,ok
chongpkr4.bmp,160,117,28,53,ok
chongpkr5.bmp,179,127,26,50,ok
christinel1.bmp,153,114,23,44,ok
christinel2.bmp,154,117,24,46,ok
christinel3.bmp,174,111,25,48,ok
christinel4.bmp,173,133,21,38,ok
christinel5.bmp,181,128,24,46,ok
christiner1.bmp,154,121,24,46,ok
