image,pupil_center_x,pupil_center_y,pupil_radius,status
aeval1.bmp,152,115,21,ok
aeval2.bmp,164,116,21,ok
aeval3.bmp,134,118,21,ok
aeval4.bmp,139,125,23,ok
aeval5.bmp,151,112,21,ok
aevar1.bmp,189,126,21,ok
aevar2.bmp,155,102,23,ok
aevar3.bmp,163,117,23,ok
aevar4.bmp,157,111,22,ok
aevar5.bmp,151,126,24,ok
fional1.bmp,225,122,44,ok
fional2.bmp,208,140,45,ok
fional3.bmp,232,116,48,ok
fional4.bmp,179,117,48,ok
fional5.bmp,178,118,52,ok
fionar1.bmp,166,144,41,ok
fionar2.bmp,128,113,51,ok
fionar3.bmp,154,114,50,ok
fionar4.bmp,149,130,50,ok
fionar5.bmp,137,117,42,ok
hockl1.bmp,167,122,23,ok
hockl2.bmp,177,93,20,ok
hockl3.bmp,174,129,21,ok
hockl4.bmp,178,115,21,ok
hockl5.bmp,161,109,30,ok
hockr1.bmp,180,128,20,ok
hockr2.bmp,198,119,20,ok
hockr3.bmp,181,123,22,ok
hockr4.bmp,174,118,21,ok
hockr5.bmp,186,116,22,ok
kelvinl1.bmp,152,116,22,ok
kelvinl2.bmp,154,134,20,ok
kelvinl3.bmp,138,128,23,ok
kelvinl4.bmp,139,133,20,ok
kelvinl5.bmp,143,136,24,ok
kelvinr1.bmp,165,139,22,ok
kelvinr2.bmp,185,126,21,ok
kelvinr3.bmp,162,127,22,ok
kelvinr4.bmp,168,118,22,ok
kelvinr5.bmp,149,126,20,ok
lec_1.bmp,151,166,21,ok
lecl2.bmp,142,152,23,ok
lecl3.bmp,139,149,23,ok
lecl4.bmp,161,143,23,ok
lecl5.bmp,180,132,21,ok
lecr1.bmp,212,128,21,ok
lecr2.bmp,200,115,21,ok
lecr3.bmp,194,105,20,ok
lecr4.bmp,212,107,21,ok
lecr5.bmp,212,106,21,ok
liujwl1.bmp,168,110,22,ok
liujwl2.bmp,172,107,23,ok
liujwl3.bmp,157,110,21,ok
liujwl4.bmp,186,96,23,ok
liujwl5.bmp,170,92,41,ok
liujwr1.bmp,145,112,20,ok
liujwr2.bmp,148,117,23,ok
liujwr3.bmp,153,116,21,ok
liujwr4.bmp,154,100,20,ok
liujwr5.bmp,151,129,21,ok
lokel1.bmp,137,136,56,ok
lokel2.bmp,140,121,20,ok
lokel3.bmp,152,118,23,ok
lokel4.bmp,134,134,21,ok
lokel5.bmp,157,112,20,ok
loker1.bmp,169,103,30,ok
loker2.bmp,172,96,21,ok
loker3.bmp,186,112,22,ok
loker4.bmp,115,106,21,ok
loker5.bmp,128,106,21,ok
lowyfl1.bmp,153,115,24,ok
lowyfl2.bmp,126,120,27,ok
lowyfl3.bmp,159,107,26,ok
lowyfl4.bmp,157,113,26,ok
lowyfl5.bmp,154,114,27,ok
lowyfr1.bmp,181,109,23,ok
lowyfr2.bmp,180,103,23,ok
lowyfr3.bmp,192,110,25,ok
lowyfr4.bmp,156,112,24,ok
lowyfr5.bmp,161,109,25,ok
lpjl1.bmp,200,141,50,ok
lpjl2.bmp,167,128,50,ok
lpjl3.bmp,177,126,49,ok
lpjl4.bmp,172,122,20,ok
lpjl5.bmp,163,130,20,ok
lpjr1.bmp,166,95,20,ok
lpjr2.bmp,173,121,20,ok
lpjr3.bmp,165,129,20,ok
lpjr4.bmp,174,129,20,ok
lpjr5.bmp,179,127,20,ok
mahskl1.bmp,177,96,25,ok
mahskl2.bmp,168,104,21,ok
mahskl3.bmp,175,109,21,ok
mahskl4.bmp,186,103,21,ok
mahskl5.bmp,185,96,23,ok
mahskr1.bmp,151,118,25,ok
mahskr2.bmp,164,107,23,ok
mahskr3.bmp,154,108,21,ok
mahskr4.bmp,177,114,23,ok
mahskr5.bmp,167,115,23,ok
maranl1.bmp,143,127,47,ok
maranl2.bmp,163,135,30,ok
maranl3.bmp,159,127,29,ok
maranl4.bmp,160,141,27,ok
maranl5.bmp,166,136,27,ok
maranr1.bmp,128,135,30,ok
maranr2.bmp,141,128,29,ok
maranr3.bmp,161,146,28,ok
maranr4.bmp,152,124,37,ok
maranr5.bmp,172,131,29,ok
bryanl1.bmp,147,121,22,ok
bryanl2.bmp,159,125,23,ok
